Events,results,white_elo,black_elo,white_rating_diff,black_rating_diff,ecos,openings,time_control,termination,game_id
Rated Blitz game,0-1,1360,1722,-3,35,D04,"Queen's Pawn Game: Colle System, Anti-Colle",240+0,Time forfeit,39
Rated Classical game,0-1,1769,1799,-9,74,C52,"Italian Game: Evans Gambit, Lasker Defense",300+8,Normal,40
Rated Blitz game,1-0,1533,1712,16,-17,B10,Caro-Kann Defense,300+0,Normal,41
Rated Classical game,0-1,1744,1773,-10,9,C00,French Defense: Horwitz Attack,540+0,Normal,42
Rated Bullet game,0-1,1720,1865,-6,6,B02,Alekhine Defense: John Tracy Gambit,60+1,Normal,43
Rated Bullet game,0-1,1871,1714,-15,15,A00,Van Geet Opening,60+1,Normal,44
Rated Bullet game,0-1,1500,1511,-169,66,A40,Mikenas Defense,60+0,Normal,45
Rated Blitz game,1-0,1179,1223,15,-18,A00,Van't Kruijs Opening,420+0,Normal,46
Rated Classical game,1-0,1341,1290,10,-14,C55,"Italian Game: Two Knights Defense, Open Variation",300+5,Normal,47
Rated Blitz game,1-0,1511,1430,9,-9,A10,English Opening,420+0,Normal,48
Rated Bullet game,1-0,1577,1331,34,-61,D02,Queen's Gambit Refused: Baltic Defense,60+0,Normal,49
Rated Classical game,0-1,1472,1504,-39,9,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,1560+30,Normal,50
Rated Classical game,1/2-1/2,1725,1785,2,-2,C02,French Defense: Advance Variation #2,360+6,Normal,51
Rated Bullet game,0-1,1729,1856,-7,7,B10,Caro-Kann Defense,60+0,Normal,52
Rated Classical game,0-1,1668,1907,-5,6,B07,Rat Defense: Antal Defense,420+9,Normal,53
Rated Bullet game,1-0,1856,1729,7,-7,B27,Sicilian Defense: Hyperaccelerated Dragon,60+0,Time forfeit,54
Rated Bullet game,0-1,1856,1786,-13,13,A40,Englund Gambit,60+0,Normal,55
Rated Classical game,1-0,1351,1542,15,-57,B01,Scandinavian Defense,300+5,Normal,56
Rated Blitz game,1-0,1695,1757,11,-125,B22,Sicilian Defense: Alapin Variation,240+0,Time forfeit,57
Rated Blitz game,0-1,1421,1520,-9,8,B00,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",420+0,Normal,58
Rated Classical game,0-1,1556,1525,-14,14,C22,Center Game: Berger Variation,480+8,Normal,59
Rated Bullet game,0-1,1722,1863,-7,7,B35,"Sicilian Defense: Dragon Variation, Modern Bc4 Variation",60+0,Time forfeit,60
Rated Bullet game,0-1,1270,1646,-28,3,A40,English Defense #2,60+0,Normal,61
Rated Bullet game,1-0,1649,1242,3,-22,A01,Nimzo-Larsen Attack: Classical Variation,60+0,Normal,62
Rated Bullet game,1-0,1871,1627,6,-26,C41,Philidor Defense #3,60+0,Normal,63
Rated Classical game,1-0,1514,1550,12,-22,D30,Queen's Gambit Declined,480+0,Normal,64
Rated Bullet game,1-0,1799,1634,7,-7,B21,Sicilian Defense: McDonnell Attack,60+0,Time forfeit,65
Rated Bullet game,0-1,1749,1843,-9,8,B40,Sicilian Defense: French Variation,60+0,Time forfeit,66
Rated Blitz game,0-1,1549,1609,-9,30,C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",300+0,Normal,67
Rated Classical game,0-1,1366,1440,-8,9,C02,French Defense: Advance Variation #3,300+5,Time forfeit,68
Rated Bullet game,1-0,1870,1715,6,-6,B21,Sicilian Defense: Smith-Morra Gambit,60+0,Time forfeit,69
Rated Bullet game,0-1,1220,1652,-17,2,A40,English Defense #2,60+0,Time forfeit,70
Rated Bullet game,0-1,1627,1806,-6,6,A04,Zukertort Opening: Queenside Fianchetto Variation,60+0,Time forfeit,71
Rated Bullet game,1-0,1731,1517,6,-6,B06,Modern Defense,60+0,Time forfeit,72
Rated Blitz game,0-1,1621,1661,-9,28,C02,French Defense: Advance Variation,180+3,Normal,73
Rated Classical game,0-1,1499,1895,-3,3,C55,Italian Game: Anti-Fried Liver Defense,660+0,Normal,74
Rated Blitz game,1-0,1706,1570,7,-7,C41,Philidor Defense: Nimzowitsch Variation,180+0,Time forfeit,75
Rated Bullet game,0-1,1851,1740,-14,15,D15,Slav Defense: Two Knights Attack,60+0,Normal,76
Rated Classical game,1-0,1513,1433,9,-29,A40,Horwitz Defense,1560+30,Normal,77
Rated Bullet game,1-0,1812,1621,6,-6,B21,Sicilian Defense: Smith-Morra Gambit #2,60+0,Normal,78
Rated Bullet game,0-1,1755,1837,-9,8,B40,Sicilian Defense: French Variation,60+0,Time forfeit,79
Rated Bullet game,0-1,1863,1737,-19,16,B01,Scandinavian Defense,60+0,Normal,80
Rated Bullet game,0-1,1203,1654,-15,2,A40,English Defense #2,60+0,Normal,81
Rated Classical game,1-0,1782,1666,7,-9,C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",540+0,Normal,82
Rated Blitz game,0-1,1888,1771,-14,35,C00,French Defense: Knight Variation,180+0,Time forfeit,83
Rated Bullet game,1-0,1615,1511,9,-8,A04,Zukertort Opening: Kingside Fianchetto,60+0,Time forfeit,84
Rated Classical game,1-0,1622,1576,8,-94,C21,King's Pawn Game: Beyer Gambit,300+8,Normal,85
Rated Classical game,1-0,1528,1526,19,-10,C41,Philidor Defense #3,480+0,Normal,86
Rated Bullet game,0-1,1844,1753,-17,15,B01,Scandinavian Defense,60+0,Time forfeit,87
Rated Bullet game,0-1,1845,1746,-13,15,D43,Semi-Slav Defense,60+0,Time forfeit,88
Rated Bullet game,1-0,1656,1431,6,-5,A01,Nimzo-Larsen Attack,0+1,Time forfeit,89
Rated Bullet game,1-0,1876,1877,10,-14,C00,French Defense: Normal Variation,60+0,Normal,90
Rated Classical game,1-0,1646,1678,11,-61,C46,Three Knights Opening,600+5,Normal,91
Rated Classical game,0-1,1510,1805,-4,9,B01,Scandinavian Defense: Main Line,600+3,Normal,92
Rated Bullet game,0-1,1244,1857,-1,6,A15,English Opening: Anglo-Indian Defense,120+0,Time forfeit,93
Rated Classical game,1-0,1898,1496,2,-2,C67,"Ruy Lopez: Berlin Defense, Rio Gambit Accepted",660+0,Normal,94
Rated Bullet game,1-0,1656,1431,6,-5,A01,Nimzo-Larsen Attack: Spike Variation,0+1,Time forfeit,95
Rated Bullet game,1-0,1503,1624,15,-16,A01,Nimzo-Larsen Attack: English Variation,60+0,Normal,96
Rated Classical game,1-0,1638,1795,16,-18,D35,Queen's Gambit Declined: Normal Defense,180+15,Time forfeit,97
Rated Bullet game,1-0,1827,1426,3,-3,B06,Modern Defense: Geller's System,60+0,Time forfeit,98
Rated Bullet game,1-0,1624,1503,7,-8,A04,Zukertort Opening: Kingside Fianchetto,60+0,Time forfeit,99
Rated Bullet game,1-0,1662,1586,10,-9,A01,Nimzo-Larsen Attack: Symmetrical Variation,0+1,Normal,100
Rated Bullet game,1-0,1832,1752,11,-9,B10,Caro-Kann Defense,60+0,Normal,101
Rated Bullet game,0-1,1761,1832,-9,8,B40,Sicilian Defense: French Variation,60+0,Time forfeit,102
Rated Bullet game,1-0,1709,1768,12,-14,B13,"Caro-Kann Defense: Panov Attack, Gunderam Attack",60+1,Normal,103
Rated Bullet game,0-1,1586,1662,-9,10,A00,Van Geet Opening,0+1,Normal,104
Rated Bullet game,1-0,1830,1423,2,-2,B06,Modern Defense: Geller's System,60+0,Time forfeit,105
Rated Bullet game,0-1,1495,1631,-8,7,A00,Van't Kruijs Opening,60+0,Normal,106
Rated Bullet game,1-0,1672,1577,9,-8,A01,Nimzo-Larsen Attack,0+1,Normal,107
Rated Blitz game,1-0,1874,1947,13,-13,B50,Sicilian Defense,180+0,Time forfeit,108
Rated Classical game,0-1,1630,1783,-7,7,C02,French Defense: Advance Variation #2,360+6,Time forfeit,109
Rated Bullet game,1-0,1840,1599,5,-4,D31,Queen's Gambit Declined: Queen's Knight Variation,60+0,Normal,110
Rated Bullet game,0-1,1754,1886,-7,7,B03,Alekhine Defense,60+0,Normal,111
Rated Classical game,1-0,1657,1789,17,-14,C20,King's Pawn Game,540+0,Time forfeit,112
Rated Bullet game,1-0,1638,1487,7,-7,A04,Zukertort Opening: Queen's Gambit Invitation,60+0,Time forfeit,113
Rated Blitz game,1-0,1576,1576,11,-11,C55,Italian Game: Anti-Fried Liver Defense,300+4,Normal,114
Rated Classical game,1-0,1913,1663,7,-4,B01,Scandinavian Defense: Mieses-Kotroc Variation,420+9,Normal,115
Rated Bullet game,0-1,1569,1681,-8,9,A00,Mieses Opening,0+1,Normal,116
Rated Blitz game,1-0,1577,1755,17,-16,C26,Vienna Game: Stanley Variation,240+0,Normal,117
Rated Bullet game,1-0,1595,1845,17,-18,A00,Hungarian Opening: Sicilian Invitation,60+0,Time forfeit,118
Rated Bullet game,1-0,1690,1561,8,-8,A01,Nimzo-Larsen Attack,0+1,Time forfeit,119
Rated Blitz game,0-1,1341,1516,-7,7,B32,Sicilian Defense: Loewenthal Variation,180+0,Time forfeit,120
Rated Bullet game,0-1,1553,1698,-7,7,A00,Mieses Opening,0+1,Normal,121
Rated Bullet game,1-0,1843,1928,16,-23,C02,"French Defense: Advance Variation, Paulsen Attack",60+0,Time forfeit,122
Rated Bullet game,1-0,1698,1553,7,-7,A01,Nimzo-Larsen Attack,0+1,Normal,123
Rated Blitz game,1-0,1887,1934,12,-13,B50,Sicilian Defense,180+0,Time forfeit,124
Rated Bullet game,1-0,1859,1747,9,-9,B01,Scandinavian Defense,60+0,Normal,125
Rated Blitz game,1-0,1603,1449,6,-6,B01,Scandinavian Defense: Mieses-Kotroc Variation,300+0,Time forfeit,126
Rated Bullet game,1-0,1546,1705,16,-17,A00,Van't Kruijs Opening,0+1,Normal,127
Rated Bullet game,1-0,1743,1827,14,-13,B40,Sicilian Defense: French Variation,60+0,Time forfeit,128
Rated Blitz game,1/2-1/2,1739,1594,-5,5,D06,Queen's Gambit Refused: Marshall Defense,240+0,Normal,129
Rated Bullet game,1-0,1688,1562,8,-7,A01,Nimzo-Larsen Attack,0+1,Time forfeit,130
Rated Blitz game,0-1,1632,1527,-106,23,B43,"Sicilian Defense: Kan Variation, Knight Variation",240+0,Normal,131
Rated Bullet game,1-0,1868,1738,9,-7,B01,Scandinavian Defense,60+0,Normal,132
Rated Classical game,1-0,1500,1732,328,-15,C47,Four Knights Game: Scotch Variation Accepted,480+0,Normal,133
Rated Bullet game,1-0,1516,1480,16,-10,B06,Modern Defense,60+0,Time forfeit,134
Rated Bullet game,0-1,1231,1814,-9,1,B20,Sicilian Defense: Bowdler Attack,60+0,Normal,135
Rated Bullet game,0-1,1612,1555,-12,13,D00,Queen's Pawn Game #2,60+1,Normal,136
Rated Bullet game,1-0,1879,1237,1,-1,A04,Zukertort Opening: Wade Defense,60+0,Time forfeit,137
Rated Bullet game,1-0,1815,1222,1,-8,D06,Queen's Gambit Refused: Austrian Defense,60+0,Time forfeit,138
Rated Bullet game,1-0,1877,1319,1,-3,C02,French Defense: Advance Variation #3,60+0,Normal,139
Rated Bullet game,0-1,1367,1555,-34,6,C00,French Defense: Knight Variation,0+1,Time forfeit,140
Rated Classical game,1-0,1507,1617,14,-63,C28,Bishop's Opening: Vienna Hybrid,480+0,Normal,141
Rated Classical game,1-0,1542,1404,8,-23,B01,Scandinavian Defense: Modern Variation #2,480+8,Normal,142
Rated Blitz game,1-0,1540,1653,15,-15,B44,Sicilian Defense: Paulsen Variation,300+0,Normal,143
Rated Bullet game,0-1,1214,1816,-7,1,B20,Sicilian Defense: Bowdler Attack,60+0,Time forfeit,144
Rated Bullet game,1-0,1878,1243,1,-1,B06,Modern Defense,60+0,Time forfeit,145
Rated Bullet game,0-1,1600,1863,-5,29,A45,Indian Game,60+1,Normal,146
Rated Blitz game,1-0,1599,1734,16,-15,C02,"French Defense: Advance Variation, Nimzowitsch System",240+0,Normal,147
Rated Bullet game,0-1,1242,1561,-5,3,A40,Horwitz Defense,0+1,Time forfeit,148
Rated Blitz game,0-1,1899,1921,-10,11,B50,Sicilian Defense,180+0,Normal,149
Rated Bullet game,1-0,1817,1207,1,-7,D06,Queen's Gambit Refused: Austrian Defense,60+0,Time forfeit,150
Rated Blitz game,1-0,1609,1443,7,-7,B01,Scandinavian Defense: Mieses-Kotroc Variation,300+0,Time forfeit,151
Rated Classical game,1-0,1664,1790,16,-15,C02,French Defense: Advance Variation #2,360+6,Normal,152
Rated Bullet game,0-1,1554,1564,-11,11,B07,Pirc Defense #5,0+1,Time forfeit,153
Rated Bullet game,1-0,1880,1855,12,-11,C50,Giuoco Piano,60+0,Normal,154
Rated Blitz game,1/2-1/2,1869,1649,-4,73,C01,French Defense: Exchange Variation,180+0,Normal,155
Rated Classical game,1-0,1814,1717,18,-10,A43,Benoni Defense: Old Benoni,480+0,Time forfeit,156
Rated Blitz game,1-0,1523,1500,8,-164,D15,Slav Defense: Geller Gambit #2,300+0,Normal,157
Rated Classical game,0-1,1465,1562,-8,8,B27,Sicilian Defense: Katalimov Variation,720+0,Time forfeit,158
Rated Classical game,1-0,1521,1539,12,-13,C25,Vienna Game: Zhuravlev Countergambit #2,480+0,Time forfeit,159
Rated Bullet game,0-1,1200,1818,-6,1,B20,Sicilian Defense: Bowdler Attack,60+0,Normal,160
Rated Classical game,0-1,1659,1920,-5,5,B07,Rat Defense: Antal Defense,420+9,Time forfeit,161
Rated Bullet game,1/2-1/2,1543,1575,1,-1,A00,Gedult's Opening,0+1,Normal,162
Rated Blitz game,1-0,1552,1478,9,-9,C44,Scotch Game,300+0,Normal,163
Rated Blitz game,0-1,1889,1932,-9,9,B21,Sicilian Defense: Smith-Morra Gambit #2,180+0,Normal,164
Rated Bullet game,1-0,1819,1194,1,-6,D20,Queen's Gambit Accepted,60+0,Normal,165
Rated Bullet game,0-1,1236,1532,-5,5,A22,"English Opening: King's English Variation, Two Knights Variation",120+0,Normal,166
Rated Bullet game,1-0,1892,1574,4,-3,B01,Scandinavian Defense,60+0,Time forfeit,167
Rated Classical game,0-1,1777,1775,-12,11,D20,Queen's Gambit Accepted: Old Variation,480+8,Normal,168
Rated Bullet game,1-0,1567,1544,87,-9,D25,Queen's Gambit Accepted: Normal Variation,120+0,Normal,169
Rated Bullet game,0-1,1188,1820,-6,1,C00,Queen's Pawn Game: Franco-Sicilian Defense,60+0,Normal,170
Rated Classical game,1-0,1802,1734,28,-8,B06,Robatsch (Modern) Defense,300+8,Normal,171
Rated Bullet game,0-1,1756,1548,-16,17,B10,Caro-Kann Defense,60+1,Normal,172
Rated Bullet game,1-0,1896,1571,4,-3,B00,"Nimzowitsch Defense, Declined Variation",60+0,Normal,173
Rated Blitz game,1-0,1722,1747,101,-28,B45,"Sicilian Defense: Paulsen Variation, Normal Variation",300+0,Normal,174
Rated Bullet game,1-0,1900,1568,4,-4,B00,Barnes Defense,60+0,Time forfeit,175
Rated Blitz game,1-0,1616,1436,6,-5,B01,Scandinavian Defense: Mieses-Kotroc Variation,300+0,Time forfeit,176
Rated Blitz game,1-0,1395,1485,13,-44,B01,Scandinavian Defense: Gubinsky-Melts Defense,300+1,Normal,177
Rated Blitz game,1-0,1642,1615,12,-11,B40,"Sicilian Defense: French Variation, Open",240+0,Normal,178
Rated Blitz game,1-0,1555,1563,11,-11,C46,Four Knights Game: Italian Variation,300+0,Normal,179
Rated Bullet game,0-1,1231,1452,-8,10,A10,English Opening,120+0,Time forfeit,180
Rated Bullet game,1-0,1904,1564,3,-3,B07,Pirc Defense #4,60+0,Time forfeit,181
Rated Bullet game,1-0,1821,1740,9,-9,D20,Queen's Gambit Accepted,60+0,Normal,182
Rated Blitz game,0-1,1880,1941,-9,10,B50,Sicilian Defense,180+0,Normal,183
Rated Bullet game,0-1,1152,1892,-4,4,C00,French Defense #2,60+0,Normal,184
Rated Bullet game,0-1,1461,1462,-11,21,C27,Vienna Game,120+0,Normal,185
Rated Blitz game,1-0,1408,1441,12,-35,B00,Nimzowitsch Defense,300+1,Normal,186
Rated Bullet game,0-1,1148,1896,-3,3,C00,French Defense #2,60+0,Normal,187
Rated Bullet game,0-1,1731,1830,-7,9,B21,Sicilian Defense: McDonnell Attack,60+0,Normal,188
Rated Bullet game,1-0,1907,1561,4,-3,C00,Rat Defense: Small Center Defense,60+0,Normal,189
Rated Bullet game,1-0,1907,1561,4,-3,B00,Barnes Defense,60+0,Normal,190
Rated Bullet game,1-0,1899,1565,18,-3,B15,Caro-Kann Defense,120+0,Normal,191
Rated Bullet game,0-1,1145,1844,-3,0,C50,Italian Game: Giuoco Pianissimo,60+0,Normal,192
Rated Bullet game,1-0,1839,1724,9,-8,D20,Queen's Gambit Accepted,60+0,Time forfeit,193
Rated Bullet game,1-0,1911,1558,3,-3,B00,Barnes Defense,60+0,Normal,194
Rated Blitz game,0-1,1871,1951,-8,8,B50,Sicilian Defense,180+0,Time forfeit,195
Rated Blitz game,1-0,1420,1167,5,-39,C50,Four Knights Game: Italian Variation,300+1,Normal,196
Rated Bullet game,1-0,1914,1333,1,-5,B02,Alekhine Defense: Brooklyn Variation,60+0,Time forfeit,197
Rated Bullet game,1-0,1654,1555,55,-8,A40,Queen's Pawn,0+1,Time forfeit,198
Rated Bullet game,0-1,1182,1457,-30,5,C00,French Defense #2,60+0,Normal,199
Rated Bullet game,1-0,1595,1535,9,-9,A40,Queen's Pawn,60+1,Normal,200
Rated Bullet game,1-0,1709,1547,37,-6,C00,French Defense: Normal Variation,0+1,Normal,201
Rated Bullet game,1-0,1378,1483,17,-26,C41,Philidor Defense #2,120+0,Time forfeit,202
Rated Bullet game,1-0,1709,1547,37,-6,C00,French Defense: Normal Variation,0+1,Normal,203
Rated Bullet game,0-1,1716,1848,-7,7,B21,Sicilian Defense: McDonnell Attack,60+0,Time forfeit,204
Rated Bullet game,1-0,1915,1142,1,-2,C50,Italian Game,60+0,Normal,205
Rated Blitz game,1-0,1566,1469,8,-8,C55,Italian Game: Anti-Fried Liver Defense,300+0,Normal,206
Rated Bullet game,1-0,1844,1541,4,-4,C00,French Defense: King's Indian Attack,0+1,Time forfeit,207
Rated Bullet game,0-1,1223,1746,-2,6,A20,English Opening: King's English Variation,120+0,Time forfeit,208
Rated Blitz game,0-1,1561,1604,-10,10,C45,Scotch Game,240+0,Time forfeit,209
Rated Bullet game,1-0,1916,1526,3,-2,B01,Scandinavian Defense,60+0,Normal,210
Rated Bullet game,1-0,1604,1537,9,-10,A40,Horwitz Defense,0+1,Normal,211
Rated Bullet game,0-1,1140,1848,-3,1,C00,French Defense #2,60+0,Time forfeit,212
Rated Blitz game,1-0,1638,1431,5,-6,D21,Queen's Gambit Accepted: Rosenthal Variation,120+2,Time forfeit,213
Rated Bullet game,1-0,1613,1527,8,-9,A45,Indian Game: Tartakower Attack,0+1,Time forfeit,214
Rated Bullet game,1-0,1855,1709,8,-6,D44,Semi-Slav Defense: Anti-Moscow Gambit,60+0,Time forfeit,215
Rated Blitz game,0-1,1622,1654,-11,11,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",300+0,Normal,216
Rated Bullet game,1-0,1919,1621,4,-3,B01,Scandinavian Defense,60+0,Normal,217
Rated Bullet game,1-0,1221,1518,29,-20,A00,Mieses Opening,0+1,Normal,218
Rated Bullet game,1-0,1621,1518,8,-9,A40,"Englund Gambit Declined, Reversed French",0+1,Normal,219
Rated Classical game,0-1,1542,1707,-7,8,C46,Four Knights Game,480+0,Normal,220
Rated Bullet game,1/2-1/2,1923,1752,-5,25,C41,Philidor Defense #3,60+0,Time forfeit,221
Rated Bullet game,0-1,1703,1863,-7,7,B21,Sicilian Defense: McDonnell Attack,60+0,Time forfeit,222
Rated Bullet game,1-0,1849,1137,1,-3,C55,Italian Game: Anti-Fried Liver Defense,60+0,Normal,223
Rated Classical game,0-1,1570,1470,-14,19,C03,French Defense: Tarrasch Variation,600+10,Normal,224
Rated Classical game,1-0,1925,1654,6,-4,B20,Sicilian Defense,420+9,Time forfeit,225
Rated Blitz game,1-0,1863,1864,10,-11,B10,Caro-Kann Defense,180+0,Time forfeit,226
Rated Blitz game,0-1,1882,1665,-21,20,A43,Old Benoni Defense,180+0,Time forfeit,227
Rated Blitz game,0-1,1425,1128,-17,149,C20,Bishop's Opening: Boi Variation,300+1,Time forfeit,228
Rated Blitz game,0-1,1347,1643,-22,4,A46,Indian Game: Wade-Tartakower Defense,120+2,Time forfeit,229
Rated Classical game,0-1,1550,1654,-9,9,B01,Scandinavian Defense: Mieses-Kotroc Variation,480+8,Normal,230
Rated Bullet game,0-1,1629,1509,-14,16,A40,Horwitz Defense,0+1,Time forfeit,231
Rated Bullet game,1-0,1870,1696,6,-6,D44,Semi-Slav Defense: Botvinnik Variation,60+0,Time forfeit,232
Rated Bullet game,1-0,1918,1134,0,-2,C40,Elephant Gambit,60+0,Normal,233
Rated Classical game,1-0,1768,1830,13,-37,B00,"St. George Defense: New St. George, Traditional Line",300+8,Normal,234
Rated Bullet game,1-0,1615,1525,8,-9,A41,Queen's Pawn,0+1,Time forfeit,235
Rated Classical game,0-1,1765,1715,-13,16,A43,Old Benoni Defense,480+0,Time forfeit,236
Rated Bullet game,1-0,1126,1500,82,-400,C41,Philidor Defense #3,60+0,Time forfeit,237
Rated Classical game,1-0,1457,1533,13,-14,C44,Scotch Game,720+0,Normal,238
Rated Blitz game,1-0,1614,1551,9,-9,C41,Philidor Defense #2,240+0,Normal,239
Rated Bullet game,0-1,1132,1918,-2,1,C00,French Defense #2,60+0,Normal,240
Rated Bullet game,1-0,1623,1516,8,-8,A45,Indian Game,0+1,Normal,241
Rated Bullet game,0-1,1690,1876,-5,6,B22,Sicilian Defense: Alapin Variation,60+0,Time forfeit,242
Rated Bullet game,1-0,1919,1130,0,-2,C55,Italian Game: Anti-Fried Liver Defense,60+0,Normal,243
Rated Classical game,0-1,1726,1958,-5,10,B20,Sicilian Defense: Bowdler Attack,300+8,Normal,244
Rated Bullet game,1-0,1631,1508,7,-8,D00,Queen's Pawn Game #2,0+1,Normal,245
Rated Bullet game,0-1,1128,1919,-2,1,C00,French Defense #2,60+0,Normal,246
Rated Bullet game,1-0,1882,1685,6,-6,D07,"Queen's Gambit Refused: Chigorin Defense, Janowski Variation",60+0,Time forfeit,247
Rated Bullet game,1-0,1919,1743,8,-6,B10,Caro-Kann Defense,60+0,Time forfeit,248
Rated Blitz game,1-0,1281,1647,35,-20,B00,Nimzowitsch Defense: Kennedy Variation,120+3,Normal,249
Rated Bullet game,0-1,1638,1500,-15,16,A40,Horwitz Defense,0+1,Time forfeit,250
Rated Classical game,0-1,1562,1556,-16,11,A00,Van't Kruijs Opening,480+0,Time forfeit,251
Rated Blitz game,0-1,1672,1795,-7,8,A43,Old Benoni Defense,120+2,Normal,252
Rated Bullet game,1-0,1920,1516,3,-2,C00,French Defense: Knight Variation,60+0,Normal,253
Rated Bullet game,0-1,1100,1208,-109,38,C46,Three Knights Opening,60+0,Time forfeit,254
Rated Bullet game,0-1,1524,1888,-3,3,B40,Sicilian Defense: Delayed Alapin Variation,60+0,Time forfeit,255
Rated Blitz game,1-0,1861,1853,13,-11,A40,Queen's Pawn,180+0,Normal,256
Rated Blitz game,0-1,1803,1665,-17,15,B01,Scandinavian Defense: Mieses-Kotroc Variation,120+2,Normal,257
Rated Blitz game,1-0,1344,1252,10,-42,C26,"Bishop's Opening: Vienna Hybrid, Spielmann Attack",300+0,Normal,258
Rated Bullet game,0-1,1246,1850,-4,1,C50,Italian Game: Giuoco Pianissimo,60+0,Time forfeit,259
Rated Blitz game,1-0,1874,1685,7,-6,A43,Old Benoni Defense,180+0,Time forfeit,260
Rated Classical game,0-1,1470,1637,-6,6,C45,Scotch Game: Classical Variation,720+0,Normal,261
